ds,holiday
2005-01-01,New year
2005-03-28,Easter Monday
2005-05-01,Labour Day
2005-05-05,Ascension Thursday
2005-05-08,Victory in Europe Day
2005-05-16,Whit Monday
2005-07-14,Bastille Day
2005-08-15,Assumption of Mary to Heaven
2005-11-01,All Saints Day
2005-11-11,Armistice Day
2005-12-25,Christmas Day
2006-01-01,New year
2006-04-17,Easter Monday
2006-05-01,Labour Day
2006-05-08,Victory in Europe Day
2006-05-25,Ascension Thursday
2006-06-05,Whit Monday
2006-07-14,Bastille Day
2006-08-15,Assumption of Mary to Heaven
2006-11-01,All Saints Day
2006-11-11,Armistice Day
2006-12-25,Christmas Day
2007-01-01,New year
2007-04-09,Easter Monday
2007-05-01,Labour Day
2007-05-08,Victory in Europe Day
2007-05-17,Ascension Thursday
2007-05-28,Whit Monday
2007-07-14,Bastille Day
2007-08-15,Assumption of Mary to Heaven
2007-11-01,All Saints Day
2007-11-11,Armistice Day
2007-12-25,Christmas Day
2008-01-01,New year
2008-03-24,Easter Monday
2008-05-01,Ascension Thursday
2008-05-01,Labour Day
2008-05-08,Victory in Europe Day
2008-05-12,Whit Monday
2008-07-14,Bastille Day
2008-08-15,Assumption of Mary to Heaven
2008-11-01,All Saints Day
2008-11-11,Armistice Day
2008-12-25,Christmas Day
2009-01-01,New year
2009-04-13,Easter Monday
2009-05-01,Labour Day
2009-05-08,Victory in Europe Day
2009-05-21,Ascension Thursday
2009-06-01,Whit Monday
2009-07-14,Bastille Day
2009-08-15,Assumption of Mary to Heaven
2009-11-01,All Saints Day
2009-11-11,Armistice Day
2009-12-25,Christmas Day
2010-01-01,New year
2010-04-05,Easter Monday
2010-05-01,Labour Day
2010-05-08,Victory in Europe Day
2010-05-13,Ascension Thursday
2010-05-24,Whit Monday
2010-07-14,Bastille Day
2010-08-15,Assumption of Mary to Heaven
2010-11-01,All Saints Day
2010-11-11,Armistice Day
2010-12-25,Christmas Day
2011-01-01,New year
2011-04-25,Easter Monday
2011-05-01,Labour Day
2011-05-08,Victory in Europe Day
2011-06-02,Ascension Thursday
2011-06-13,Whit Monday
2011-07-14,Bastille Day
2011-08-15,Assumption of Mary to Heaven
2011-11-01,All Saints Day
2011-11-11,Armistice Day
2011-12-25,Christmas Day
2012-01-01,New year
2012-04-09,Easter Monday
2012-05-01,Labour Day
2012-05-08,Victory in Europe Day
2012-05-17,Ascension Thursday
2012-05-28,Whit Monday
2012-07-14,Bastille Day
2012-08-15,Assumption of Mary to Heaven
2012-11-01,All Saints Day
2012-11-11,Armistice Day
2012-12-25,Christmas Day
2013-01-01,New year
2013-04-01,Easter Monday
2013-05-01,Labour Day
2013-05-08,Victory in Europe Day
2013-05-09,Ascension Thursday
2013-05-20,Whit Monday
2013-07-14,Bastille Day
2013-08-15,Assumption of Mary to Heaven
2013-11-01,All Saints Day
2013-11-11,Armistice Day
2013-12-25,Christmas Day
2014-01-01,New year
2014-04-21,Easter Monday
2014-05-01,Labour Day
2014-05-08,Victory in Europe Day
2014-05-29,Ascension Thursday
2014-06-09,Whit Monday
2014-07-14,Bastille Day
2014-08-15,Assumption of Mary to Heaven
2014-11-01,All Saints Day
2014-11-11,Armistice Day
2014-12-25,Christmas Day
2015-01-01,New year
2015-04-06,Easter Monday
2015-05-01,Labour Day
2015-05-08,Victory in Europe Day
2015-05-14,Ascension Thursday
2015-05-25,Whit Monday
2015-07-14,Bastille Day
2015-08-15,Assumption of Mary to Heaven
2015-11-01,All Saints Day
2015-11-11,Armistice Day
2015-12-25,Christmas Day
2016-01-01,New year
2016-03-28,Easter Monday
2016-05-01,Labour Day
2016-05-05,Ascension Thursday
2016-05-08,Victory in Europe Day
2016-05-16,Whit Monday
2016-07-14,Bastille Day
2016-08-15,Assumption of Mary to Heaven
2016-11-01,All Saints Day
2016-11-11,Armistice Day
2016-12-25,Christmas Day
